Species,Plant Type,flag,Height,flag,Leaf Shape,flag,Leaf size (length x width in cm or mm),flag,Bark type,flag,Leaf Apex and Base,flag,pod/fruit width,flag,"Leaf Type (Simple, Compound)",flag,Pinna pairs number,flag,Fruit Shape,flag,Pod weight,flag,Pod or Fruit length,flag,,
quercus phellos,Tree,0,Up to 25 m (82 ft),0,Oblong-linear to lanceolate or oblanceolate,0,6-12 cm x 1-2.5 cm,0,"Smooth when young, fissured with age",0,"Bristle-tipped, usually cuneate at base",0,Not applicable,0,Simple,1,Not applicable (simple leaves),0,Acorns,0,Not applicable,0,1-1.5 cm,0,25,
tabebuia heterophylla,Shrub or small tree,0,Up to 20 m or more,0,Terminal leaflet obovate or obovate-elliptic; Lateral leaflets elliptic or oblong-elliptic,0,5-12 cm x 2-6 cm,1,"Branchlets terete, lepidote with small whitish scales",0,"Apex obtuse to rounded, occasionally obtusely apiculate; Base obtuse to rounded",0,6-10 mm wide,0,Compound,0,Not applicable,0,Linear-cylindric,0,Not applicable,1,7-20 cm long,0,25,
pseudotsuga menziesii,Tree,0,25-30 m (up to 100 m in native range),0,Linear,0,15-30 x 1-2 mm,0,"Smooth when young with resin blisters, becoming rough and scaly with deep longitudinal fissures with age",0,Apex rounded or pointed,0,Not applicable,0,Simple,1,Not applicable (needles),0,Seed cones ellipsoid-ovoid,0,Not applicable,0,About 8 cm,0,25,
pinus koraiensis,Tree,0,Up to 50 m tall,0,Almost triangular in cross-section,0,115 mm long,1,"Gray-brown or gray, fissured longitudinally into irregularly oblong plates",0,"Apex acute, Base acute to attenuate",1,Not applicable (cone),0,Simple (needles),0,Not applicable (needles),0,Conical-ovoid or ovoid-oblong,0,Not applicable (cone),0,9-14 cm,0,25,
tilia amurensis,Tree,0,25 m tall,0,Broadly ovate or ovate-orbicular,0,4.5-6 x 4-5.5 cm,0,"Dark gray, exfoliating",0,"Base cordate or rarely obliquely truncate, apex acute, acuminate, truncate or slightly emarginate or 3-lobed",0,Not applicable,0,Simple,0,Not applicable,0,"Ovoid-globose, 5-angled or obscurely angled",0,Not applicable,0, 5-8 mm,1,25,
bauhinia retusa,Tree,0,6–12 tall,1,Suborbicular or cordate,0,"9-13 cm long, suborbicular or cordate",0,Dark brown,0,"Apex sub-emarginate, base cordate or truncate",0,3-4 cm wide,0,Simple,0,Not applicable (simple leaves),0,"long, slender pod",1,Not applicable,1,Up to 15 cm long,0,25,
quercus robur,Tree,0,15-30 m,0,Obovate to oblong,0,"50-140 x 35-60 mm, 70-150 x 20-85 mm",0,"Light gray, scaly",0,"Base auriculate, apex broadly rounded",0,Not applicable,0,simple,1,Not applicable (simple leaf),0,Ovoid acorn,0,Not applicable,0,18-30 mm,0,25,
quercus nigra,Tree,0,Up to 25 m (82 ft),0,Cuneate-obovate or cuneate-spatulate and abruptly widened above,0,4-10 cm x 1.5-5 cm,0,"Smooth when young, roughened with scaly ridges in age",0,Long-cuneate to the base,0,Not applicable,0,simple,1,Not applicable (simple leaves),0,Acorns,0,Not applicable,0,Acorns 1-1.5 cm,0,25,
podocarpus macrophyllus,Tree,0,20 m tall,0,"Linear-lanceolate, oblanceolate, or oblong-oblanceolate, slightly curved",0,1.7-12 cm × 2-10 mm,0,Peeling off in thin flakes,0,"Base cuneate, apex mucronate or acute to long acuminate",0,Not applicable,0,Simple,0,Not applicable (simple leaves),0,Columnar receptacle,0,Not applicable,0,1-2 cm,1,25,
eriobotrya japonica,Tree,0,Up to 10 m tall,0,"Lanceolate, oblanceolate, obovate, or elliptic-oblong",0,12-30 cm x 3-9 cm,0,Smooth,0,"Apex acute or acuminate, base cuneate",0,Not applicable,0,simple,1,Not applicable (simple leaf),0,Globose or obovate,0,Not applicable,0,2-5 cm,1,25,
betula nana,Shrub,0,Up to 1 m,0,Broadly orbiculate or obovate-orbiculate to reniform,0," rounded, 6–20 millimetres (0.24–0.79 in) diameter",0,"Smooth, close",0,"Base rounded to nearly cordate, apex rounded",0,Not applicable,0,Simple,0,Not applicable,0,Samara,0,Not applicable,0, 1-1.5 cm,0,25,
filicium decipiens,Tree,0,4.5-20(-30) m tall,0,Lanceolate to linear or narrowly oblong-elliptic,0, 5-16 cm  x  0.5-4 cm,1,"Smooth, whitish or greyish-brown, longitudinally grooved on branches",0,"Apex acute, base inequilateral acute",0,,,Compound,0,5-10 pairs,0,Ellipsoid or subglobose,0,,,9-10 mm long,0,23,
abies sibirica,Tree,0,Trees to 35 m tall,0,"Linear, flattened",0,(1.5-)2-3 (-4) cm x ca. 1.5 mm,0,"Gray brown, smooth",0,"Apex emarginate, acute or obtuse on cone-bearing branchlets",0,Not applicable,0,Simple,0,Not applicable,0,Cylindric,0,Not applicable,0,5-9.5 cm,0,25,
pinus nigra,Tree,0,Up to 50 m in native range,0,Straight or curved,0,4-19 cm × 1-2 mm,0,Gray or dark brown,0,,,Not applicable,0,Simple (needles),0,Not applicable ,1,oval or cylindrical in shape,0,Not applicable,0,5-10 cm (cone),0,24,
jacaranda mimosifolia,Tree,0,Up to at least 15 m tall and 45 cm diameter at breast height (dbh),0,Narrowly elliptic leaflets,0,15-30 cm long,0,Gray bark,0,"Sharply acuminate apex, cuneate base",0,,,Bipinnately compound,0,13-31 pinnae,0,Compressed-orbicular capsule,0,,,3.2-5.8 cm long,0,23,
ficus thonningii,Tree,0,15-30 m tall,0,Elliptic to oblanceolate or subobovate to subovate,0,(1.5)3-12(18) x (1)1.5-6(9) cm,0,Periderm usually not flaking off,0,Apex acuminate to obtuse or rounded; base cuneate to rounded or subcordate,0,Not applicable,0,simple,1,Not applicable (simple leaves),0,Globose to ellipsoid,0,Not applicable,0,1-2 cm,1,25,
gmelina arborea,Tree,0,15 m tall,0,Broadly ovate,0,8-19 cm x 4.5-15 cm,0,Grayish brown,0,"Base broadly cuneate to subcordate, apex acuminate",0,,,Simple,0,Not applicable,0,Ellipsoid to obovoid-ellipsoid,0,Not applicable,0,1.5-2 cm,0,24,
triadica sebifera,Tree,0,Up to 15 m tall,0,"Rhomboid, rhomboid-ovate, broadly ovate, or rarely rhomboid-obovate",0,3-13 x 3-9 cm,0,"Dark green with longitudinal stripes, pale brownish when older",0,"Base broadly rounded, truncate, or sometimes shallowly cordate; apex acutely acuminate",0,Not applicable,0,,,Not applicable (simple leaves),0,Subglobose to pyriform-globose,0,Not applicable,0, 1-1.5 cm,1,24,
tectona grandis,Deciduous tree,0,Up to 50 m tall,0,Broadly elliptic,0,"(10-)25-50(-80) cm long, (5-)20-40(-50) cm broad",0,,,Acute or shortly acuminate,0,Up to 1.5 cm wide,0,Simple,0,Not applicable (simple leaves),0,Subglobose to tetragonally flattened,0,Not applicable,0,Up to 1.5 cm long,0,24,
gleditsia triacanthos,Tree,0,20-40 m tall,0,Elliptic-lanceolate,0,11-22 cm long,0,"Grayish-black, deeply fissured with narrow ridges",0,"Apex acute or slightly obtuse, base cuneate or slightly rounded and oblique",0,,,Compound (pinnate or bipinnate),0,4-14 pairs,0,"fruit is a long, twisted, and flattened pod.",1,,,30-50 cm,0,23,
chosenia arbutifolia,Tree,0,Trees to 30 m tall,0,oblong-lanceolate to lanceolate,0,5-8 × 1.5-2.3 cm,0,gray to grayish-brown,1,"base cuneate, apex acuminate",0,Not applicable,0,Simple,0,Not applicable,0,capsule,0,Not applicable,0,4-7 cm,1,25,
celtis occidentalis,Tree,0,6-15(35) m,0,Broadly ovate to deltoid,0,5–12 cm  x 3–9 cm ,1,"Stem with swollen bark, later splitting into scales",0,"Abruptly acuminate to very long-acuminate, oblique at the base, one side (seldom both) generally ± strongly cordate",0,Not applicable,0,Simple ,1,Not applicable (simple leaves),0,Ellipsoid to subglobose,0,Not applicable,0,7-13 mm,0,25,
liquidambar styraciflua,Tree,0,Up to 50 m tall,0,Oblong-triangular lobes,0,4-14 x 3.5-20 cm,0,"Deeply furrowed, grayish",0,Apex of each lobe acuminate; base truncate to cordate or subcordate,0,Not applicable,0,simple,1,Not applicable (simple leaves),0,Globose capsule,0,Not applicable,0,2-3 cm,1,25,
cinnamomum camphora,Tree,0,Up to 30 m tall,0,Ovate-elliptic,0,6-12 cm x 2.5-5.5 cm,0,Irregularly and longitudinally fissured,0,"Apex acute, base broadly cuneate or subrounded",0,Not applicable,0,simple,1,Not applicable (simple leaves),0,Ovoid or subglobose,0,Not applicable,0,1-1.5 cm,1,25,
eucalyptus globulus,Tree,0,Up to 45 m tall,0,"Juvenile leaves ovate, adult leaves lanceolate to narrowly lanceolate",0,"Juvenile leaves: ovate-oblong, cordate; Adult leaves: 12-25 cm long, 1.7-3 cm wide",0,"Rough, greyish or brownish bark at the base, smooth white to cream or yellowish bark above",0,"Apex acuminate, base cuneate or oblique",0,,,simple,0,Not applicable (simple leaves),0,Obconic to hemispherical or subglobular,0,Not applicable,0,1-2.1 cm long,0,24,
betula dahurica,Tree,0,20 m tall,0,"Ovate, broadly ovate, rhombic-ovate, or elliptic",0,4-8 x 3.5-5 cm,0,Fissured,0,"Apex acute or acuminate; base subrounded, broadly cuneate, or cuneate",0,Not applicable,0,Simple,0,Not applicable (simple leaf),0,Broadly elliptic,0,Not applicable,0,1-2  cm,1,25,
ginkgo biloba,Tree,0,"15-20 m, up to 40 m in native habitat",0,"Fan-shaped, wedge-shaped or bilobed",0,(3-)5-8(-13) x 5-8(-15) cm,0,"Fissured, especially on old trees",0,"Apex notched or truncate, base wedge-shaped",0,Not applicable,0,simple,1,Not applicable (simple leaf),0,"Elliptic, narrowly obovoid, ovoid or subglobose",0,Not applicable,0,2.5-3.5 cm,0,25,
picea schrenkiana,Tree,0,60 m tall,0,Quadrangular-linear,0,2-3.5 cm x 1.5 mm,0,Thickly flaking,0,Apex acute,0,Not applicable,0,Simple,0,Not applicable,1,Ellipsoid-cylindric or cylindric,0,Not applicable,0,6-11.3 cm,0,25,
maackia amurensis,Tree,0,"15 m tall, up to 20 m",0,Ovate to obovate-elliptic,0,15-23 cm long,0,"Green-brown, scaly",0,"Base broadly cuneate or cuneate, apex acute to acuminate",0,1-1.2 cm,0,Compound,0,Not applicable,1,"flat, oblong pod",1,,,3-7 cm,0,24,
ehretia laevis,Tree,0,10 m tall,0,Ovate-elliptic to obovate,0,6-12 cm x 3-8 cm,0,"smooth, grey bark. ",1,"Base rounded to broadly cuneate, apex obtuse",0,Not applicable,0,Simple,0,Not applicable,0,Drupe,0,Not applicable,0,  0.8-1.2 cm,1,25,
acrocarpus fraxinifolius,Tree,0,Up to 30 m tall,0,Ovate to ovate-oblong,0, 4-15 x 1.5-4.5,1,Grayish,0,"Acuminate apex, slightly oblique base",0,1-2 cm,0,"Compound, bipinnate",0,3-5 pairs,0,Compressed,0,,,8-15 cm,0,24,
schinus molle,Tree,0,4-15 m tall,0,Narrowly lanceolate,0,9-28 cm long,0,"Rough, exfoliating in long plates",0,"Apex acute, obtuse or rounded with a mucronate to uncinate acumen; base rounded, obtuse or cuneate, oblique",0,Not applicable,0,Compound ,1,Not applicable,1,Globose,0,Not applicable,0,Not applicable,0,25,
castanopsis indica,Tree,0,7–30 m,0,"Oblong, ovate or slightly obovate",0,10–20 cm x 4–10 cm,0,Thick scaly; inner bark yellowish,0,"Base obtuse, equal or suboblique; apex acute, acuminate, sometimes obtuse",0,Not applicable,0,Simple ,1,Not applicable (simple leaves),0,Ovoid,0,Not applicable,0,1.5-2 cm,1,25,
callicarpa arborea,Tree,0,8 m tall,0,"Elliptic, oblong-elliptic, or ovate",0,13-37 cm x 7-13 cm,0,"Bark brown or dark grey, rough with shallow fissures",1,Base cuneate to rounded,0,Not applicable,0,Simple,0,Not applicable,0,"small, round drupe",1,Not applicable,0,0.3-0.5 cm,1,25,
acer negundo,Deciduous tree,0,Up to 20 m tall,0,Leaflet blades ovate or elliptic-lanceolate,0, 5–10 cm x long and 3–7 cm,1,"pale gray or light brown, deeply cleft into broad ridges, and scaly",0,"Base rounded or truncate, apex acute",0,Samara 8-10 mm wide,0,"Compound, pinnately compound, usually trifoliolate",0,"Pinnate, 3-7 pairs",1,Samara (winged fruit),0,,,1.5-2 cm,1,24,
buchanania latifolia,Tree,0,13-15 m tall,0,Broadly oblong,0,,,"Ferruginous tomentose on young branches, subglabrous on branchlets with elevated lenticels",0,"Apex rounded to retuse, base rounded or broadly cuneate",0,Not applicable,0,Simple ,1,Not applicable (simple leaf),0,Drupe lens-shaped,0,Not applicable,0,0.3-0.5 cm,1,24,
symplocos lucida,Shrub or tree,0,Up to 15 m,0,Oblong to narrowly elliptic,0,5-13 cm x 2-5 cm,0,yellowish green,1,"Base cuneate, apex long acuminate to acute",0,Not applicable,0,Simple ,1,Not applicable,0,Ovoid to mostly ellipsoid,0,Not applicable,0,0.5-1.8 cm,0,25,
parkinsonia aculeata,Shrub or small tree,0,3-10 m tall,0,"Obovate-elliptic, obovate-oblong, or oblong",0,1-10 mm x 1-2 mm,1,"Rough, fissured, light brown to gray",0,"Apex obtuse to rounded, base cuneate",0,0.5-0.8 cm,0,Bipinnately compound,0,1-3 pairs,0," Long, slender, and somewhat curved pod",1,,,3-15 cm,0,24,
acer saccharum,Tree,0,Up to 40 m,0,About as wide as long,0,20 cm x20 cm,1,"Medium-gray, becoming roughened with loose-edged plates",0, leaf is acuminate base is  rounded or slightly cordat,1,Not applicable,0,Simple,0,Not applicable,0,Acer saccharum: V-shaped double samara with winged seeds,1,Not applicable,0,Mericarps of the fruit 2.5-4 cm,0,25,
ilex paraguariensis,Tree,0,10-17 m tall,0,Oblong to elliptic,0,"10-20 cm long, 5-10 cm wide",0," smooth, shiny, whitish.",1,"Apex acute to acuminate, base cuneate",0,Not applicable,0,Simple ,1,Not applicable (simple leaves),0,Drupe,0,Not applicable,0, 0.6-0.8 cm,1,25,
cryptomeria japonica,Tree,0,"Up to 50 m high in the wild, up to 30 m high in cultivation",0,Awl-shaped,0,3-20(-25) x 1-2 mm,0,Shredding,0,Apex blunt,0,,,scale like,1,Not applicable (leaves are simple),0,Female cones spherical,0,Not applicable (gymnosperms do not have pods),0,Approx. 15 mm,0,24,
celtis sinensis,Tree,0,Up to 20 m tall,0,Ovate to ovate-elliptic,0,3-10 cm x 3.5-6 cm,0,Gray,0,"Base rounded, obtuse, or obliquely truncate; apex acute to shortly acuminate",0,,,Simple,0,Not applicable,1,Globose,0,,,0.5-1 cm,0,23,
bombax ceiba,Tree,0,Up to 30 m high,0,Elliptic-lanceolate,0,  13–15 cm x  7–10 cm,0,"Grey, covered with hard small conical prickles, usually disappearing with age",0,"Acuminate, attenuate at base",0,,,Compound,0,Not applicable,1,Oblong,0,,,10-12.5 cm,0,23,
eurya japonica,Shrub,0,1-3.5 m tall,0,"obovate, obovate-elliptic, or oblong-elliptic",0,3-7 cm x 1.5-3 cm,0,dark brown,1,"Base cuneate, apex obtuse, subrounded, or rarely acute and with an obtuse and sometimes retuse tip",0,Not applicable,0,simple,1,Not applicable (simple leaves),0,globose,0,Not applicable,0,Not applicable,0,25,
dillenia pentagyna,Deciduous tree,0,Up to 25 m,0,Obovate,0,20-50 cm x 10-20 cm,0,"Smooth, gray, exfoliating",0,"Rounded to obtuse at apex, acute and decurrent at base",0,Not applicable,0,Simple,0,Not applicable,0,Globular,0,Not applicable,0,2-3 cm,1,25,
ficus benjamina,Tree,0,8-20 m tall,0,Ovate-elliptic to ovate-lanceolate,0,"5-12 cm long, 2-6 cm wide",0,Smooth,0,"Cuspidate at apex, cuneate at base",0,Not applicable,0,simple,1,Not applicable (simple leaves),0,Globose-ovoid,0,Not applicable,0,1-2  cm,1,25,
alnus hirsuta,Tree,0,20 m tall,0,"Suborbicular, rarely broadly ovate",0,4-9 cm x 2.5-9 cm,0,"Gray-brown, smooth",0,"Apex rounded, rarely acute; Base rounded or broadly cuneate, rarely cuneate or subcordate",0,Not applicable,0,Simple,0,Not applicable,0,Oblong,1,Not applicable,0,1-2 cm,1,25,
prunus caroliniana,Shrub or tree,0,4-12 m,0,Narrowly elliptic to elliptic or oblanceolate,0,5-10 cm x 1.5-4 cm,0,gray-reddish brown,1,"Base cuneate to obtuse, apex usually acute to short-acuminate, sometimes obtuse-apiculate",0,0.98-1.24 cm,1,Simple,1,Not applicable (simple leaves),0,Ovoid drupe,0,Not applicable,0,9-12 mm,0,25,
catalpa speciosa,Tree,0,Up to 30 m,0,Cordate-ovate,0,14-21 cm x 11.5-17 cm,0,gray-reddish brown,1,"Acuminate apex, cordate base",0,1-1.5 cm,0,Simple,0,Not applicable,0,Capsule,1,0.32-0.64 gram,1,24-30 cm,0,25,
wrightia tomentosa,Tree,0,Small tree,0,Elliptic obovate,0,7.5-15 cm x 3-7 cm,0,"gray, thick, corky",1,"Acuminate apex, acute or rounded base",0,3-4 cm,1,Simple,0,8-14 pairs of lateral nerves,0,Cylindric,0,5-20 gram,1,15-18 cm,0,25,
koelreuteria paniculata,Tree or shrub,0,7 m,1,Ovate or broadly ovate to ovate-lanceolate,0,(3-)5-10 x 3-6 cm,0,"Stout, fissured when dry",0,"Base obtuse to subtruncate, apex acute or shortly acuminate",0,2-4 cm,1,"Pinnate, imperfectly bipinnate, or sometimes bipinnate",0,7-15 pairs pf leaflets,1,Conical,0,Not applicable,0,4-6 cm,0,25,
alnus japonica,Tree,0,20 m tall,0,"Obovate or obovate-elliptic on dwarf shoots, obovate-lanceolate on branchlets",0,4-14 cm x 2.5-4 cm,0,Smooth,0,"Base cuneate, apex mucronate, acute, or acuminate",0,Not applicable,0,Simple,1,Not applicable (simple leaves),0,Obovate nutlet,0,Not applicable,0,2-3 mm (nutlet),0,25,
populus fremontii,Tree,0,Plants to 30 m tall,0,Rhombic-ovate to broadly triangular-ovate,0,(1.5-)4-8(-14) x (1.5-)3-8(-11) cm,0,Deeply furrowed,0,"Apex short- to long-acuminate, base cuneate to truncate or cordate",0,Not applicable,0,Simple,1,Not applicable (simple leaves),0,Spherical,0,Not applicable,0,10-14 cm,1,25,
albizia amara,"Tree, rarely shrubby",0,1.5-12(? 15) m high,0,Oblong to linear,0,10-20 cm,1,"Fissured, rough",0,Symmetrical and obtuse or sometimes subacute at apex,0,2-5 cm wide,0,Compound,0,4-46 pairs,0,"flat, greyish-brown, veiny",1,1.13 gram,1,10-28 cm long,0,25,
eucalyptus microtheca,Tree,0,15 - 20 m tall,0,"Juvenile leaves: lanceolate to broadly lanceolate, Adult leaves: linear-lanceolate to broadly lanceolate",0,"Juvenile leaves: 7 - 15 x 0.4 - 4 cm, Adult leaves: 8 - 16(-17) x (0.8-) 1 - 2.5 cm",0,"Fibrous, flakey, grey to black, persistent on trunk and smaller branches, secondary and tertiary branches smooth and whitish",0,"base tapering to petiole, apex pointed or rounded, margin entire",1,Not applicable,0,Simple,0,Not applicable,0,Hemispherical or obconical,0,Not applicable,0,2.5 - 5 mm,0,25,
bridelia retusa,Tree,0,Up to 20 m,0,Elliptic-oblong to elliptic-oblanceolate,0,10-20 x 4-10 cm,0,Contains tannin (16-40%),0,"Apex subacute, sometimes obtuse, rounded or roundly cuneate at the base",0,7-9 mm,0,Simple,0,14-25 pairs,1,Globose,0,Not applicable,1,7-8 mm,1,25,
fraxinus mandshurica,Tree,0,30 m,0,Oblong to ovate-oblong,0,25-35(-40) cm,0,relatively smooth and gray to light brown,1,"Base cuneate to blunt, slightly oblique; apex acuminate or caudate",0,6-9 mm,0,Compound,0,7–13 leaflets,1,Oblong to obovate-lanceolate,0,0.1-0.3 gram,1,3-3.5(-4) cm,0,25,
picea pungens,Tree,0,Up to 50m,0,4-angled in cross section,0,1.6--3cm,0,Gray-brown,0,Apex spine-tipped,0,0-2.5 cm,1,Simple,0,Not applicable,0,"oblong-cylindrical, sessile, pendulous",1,Not applicable,1,(5--)6--11(--12)cm,0,25,
larix sibirica,Tree,0,Up to 40 m tall,0,"slender, sharp-pointed, deeply keeled",0,2-4 cm,0,"Rough, longitudinally fissured",0,Apex acute or obtuse,0,Not applicable,0,Simple,1,Not applicable,0,Ovoid or narrowly ovoid,0,Not applicable,0,2.5-4.5 cm,0,25,
sequoia sempervirens,Tree,0,100-110(-115) m tall,0,"Short-lanceolate to deltate on leaders/branchlets, linear to linear-lanceolate on spreading branchlets",0,1-30 mm,0,"Fibrous, ridged and furrowed",0,"enlarged and buttressed at the base and often with rounded swellings or burls, slightly tapering",1,Not applicable,0,Simple,0,Not applicable,0,"reddish-brown, dry, hard, egg-shaped, or oval",1,Not applicable,0,Seed cones 1.3-3.5 cm,0,25,
tilia cordata,Tree,0,Up to 30 m tall,0,Roundish with a pointed tip,0,3-8 cm diameter,0,grayish-brown and furrowed,1,"Pointed apex, cordate (heart-shaped) and often asymmetric base",0,Not applicable,0,Simple,0,Not applicable,0,"rounded, hairy nutlets that hang in pendulous clusters",1,Not applicable,0,6-7 mm,1,25,
quercus incana,Tree,0,6-18 m tall,0,Elliptic-lanceolate to ovate-lanceolate,0,6-15 cm x 1.7-4.7 cm,0,With square plates,0,"Acuminate, base not specified",0,Not applicable,0,Simple,0,11-20 pairs,1,Biennial round acorns ,1,Not applicable,0,0-2.5 cm,1,25,
acacia mearnsii,Tree,0,2-15 m,0,Linear-oblong,0,8-15 cm,1,"Grey-brown to blackish, smooth or rough on very old trunks",0,"apex obtuse or subacute, margin entire, puberulent, membranous, veins obscure",1,0.5-0.8 cm,0,"Compound, bipinnate",0,(8)12-21 pairs,0,"flat, narrow, straight to slightly curved",1,7-30 gram,1,(1.6)3-10 cm,0,25,
hardwickia binata,Tree,0,Medium or large,0,Obliquely ovate,0,"2.5-6.5 cm long, 1.2-3 cm broad",0,"greyish-brown in colour, rough with deep cracks",1,Obtuse,0,1.3-2.5 cm wide,0,Compound,0,10-12 pairs,1,"flat, elongated pod",1,1-3 gram,1,5-11 cm long,0,25,
prunus cerasifera,Shrub or tree,0,Up to 8 m tall,0,"Elliptic, ovate, obovate, or rarely elliptic-lanceolate",0,2-6 x 2-6 cm,0,"Branches dark gray, sometimes spiny; branchlets dark red, glabrous",0,"Base cuneate to subrounded, apex acute",0,Not applicable,0,"ovate, elliptic",1,Not applicable (simple leaves),0,Subglobose to ellipsoid,0,Not applicable,0,0-2.5 cm,1,25,
pyrus calleryana,Tree,0,5-8 m tall,0,"Broadly ovate or ovate, rarely narrowly elliptic",0,4-8 cm x 3.5-6 cm,0,"Branchlets reddish brown when young, grayish brown when old",0,"Apex acuminate, rarely acute; Base rounded or broadly cuneate",0,Not applicable,0,Simple,1,Not applicable (simple leaf),0,Globose,0,Not applicable,0,0-2.5 cm,1,25,
acacia melanoxylon,Tree,0,5-20 m,0,Linear-lanceolate to oblanceolate or narrowly obovate,0,6-12 cm x 0.6-2.5 cm,0,dark-grey to black coloured bark that appears quite scaly on older trees,1,"Narrowed basally, apex not specified",0,0.6-0.8 cm,0,Simple (phyllodes),0,Not applicable (phyllodes),0,elongated and somewhat flattened pod,1,0.5-1.5 gram,1,5-15 cm,0,25,
salvadora oleoides,Shrub or tree,0,6-9 m,1,Elliptic-lanceolate,0,"1.5-7.5 cm long, 0.4-1.5 cm broad",0,"Stiff, rough, whitish",0,"Mostly acute, rarely obtuse or mucronate",0,Not applicable,0,Simple,0,Not applicable,0,Globose,0,Not applicable,0,6 cm,1,25,
dalbergia sissoo,Tree,0,Up to 5 m high,0,"Suborbicular, occasionally rhombic-obovate",0,12-15 cm,0,"Rough, gray bark",0,"Apex rounded, shortly caudate",0,0.6-1.2 cm,0,Compound,0,3-5 leaflets,1,"oblong, flat, thin",1,1.5 gram,1,4-8 cm,0,25,
juglans mandshurica,Tree or shrub,0,Up to 25 m tall,0,Leaflets elliptic to long elliptic or ovate-elliptic to long elliptic-lanceolate,0,40-90 cm long,0," Bark silvery-grey when young, becoming pale greenish-grey and deeply furrowed with age",1,"Base oblique, subcordate; apex acuminate",0,3-5 cm,1,Compound,0,7-19 leaflets,1,"Globose, ovoid, or ellipsoid",0,Not applicable,1,3-7.5 cm,0,25,
zelkova serrata,Tree,0,Up to 30 m tall,0,Elliptic to ovate-lanceolate,0,3-10 cm x 1.5-5 cm,0,Exfoliating,0,"Base slightly oblique, rounded, or shallowly cordate; apex caudate-acuminate",0,15-18 m`,1,Simple,0,8–14 pairs,1,"small, ovoid to renivoid",1,0-0.1 gram,1,2.5 - 7.5 cm,1,25,
fraxinus uhdei,Tree,0,10-30 m,0,Narrowly or broadly lanceolate to broadly elliptic or ovate,0,(4.5-)6-12(-15) x (1.5-)3.5-6(-8) cm,0,"dark grey or brown, thick and furrowed into ridges",1,"Base obtuse or slightly rounded and abruptly attenuate into petiole, slightly asymmetric; apex short to long acuminate",0,0.4-0.9 cm,0,Compound,1,5-9 leaflets,1,Samara (winged fruit),0,Not applicable,0,2.5-5 cm,0,25,
ulmus parvifolia,Tree,0,25 m,0,Elliptic to ovate-obovate,0,(3.5-)4-5(-6) × 1.5-2.5 cm,0,"Shedding in irregular, tan to orange plates",0,"Apex acute, base oblique",0,1-2 cm,1,Simple,0,5-8 pairs,1,Elliptic to ovate,0,0-0.1 gram,1,ca. 1 cm,0,25,
garuga pinnata,Tree,0,4-10 m tall,0,"Lowest leaflets stipule-like, spoon-shaped or linear; middle leaflets elliptic, oblong, or lanceolate",0,15-45 cm,1,Rough,0,"Base rounded, sometimes obliquely cuneate; apex usually narrowly acuminate",0,2-3 cm,1,Compound,0,6-10 leaflets,1,Globose,0,5-10 gram,1,11-15 mm,1,25,
alnus incana,Shrub or small tree,0,2-4 m tall,0,"Oval, elliptic, or ovate",0,"5-11 cm long, 4-8 cm broad",1,"Smooth when young, becoming broken into irregular plates with age",0,"Apex obtuse to short-acuminate, base broadly obtuse to rounded",0,Not applicable,0,Decidious,1,Not applicable (simple leaves),0,"oval to egg-shaped, cone-like clusters",1,Not applicable,0,2-3.5 cm,0,25,
malus angustifolia,Tree or shrub,0,10-50(-100) dm (approx. 3.3-16.5(-33) m),0,"Vigorous shoot leaves: elliptic, oval, or ovate, sometimes triangular-ovate; Flowering shoot leaves: elliptic, oblong, sometimes ovate, obovate, or lanceolate",0,Vigorous shoot leaves: (3.5-4-6(-8)) x (1.5-3-4(-5)) cm; Flowering shoot leaves: (0.9-1.5-5(-6.5)) x (0.7-1-2(-3)) cm,0,"Reddish brown to gray, longitudinally fissured with plate-like scales",0,"Vigorous shoot leaves: base cuneate, sometimes rounded, apex rounded, broadly acute, sometimes apiculate; Flowering shoot leaves: base cuneate, sometimes rounded, apex rounded (with point or acute)",0,Not applicable,0,Simple,1,Not applicable (simple leaves),0,Subglobose,0,Not applicable,0,0-2.5 cm,1,25,
rhododendron arboreum,Tree,0,Up to 10 m tall,0,Lanceolate to oblong,0,"5-15 cm long, lanceolate to oblong",0,Exfoliating into thin and small irregular flakes,0,"apex rounded-apiculate, lower surface with a yellowish brown spongy indumentum",1,0.5-1.5 cm,1,Compound,1,Not applicable (simple leaves),0,Cylindrical capsule,0,0.1-0.5 gram,1,1-2.5 cm long,0,25,
ceratonia siliqua,Tree,0,10-17 m tall,0,Elliptic or broadly obovate,0,"2.5-7.5 cm long, 2.5-7.5 cm broad",1,brown rough bark and sturdy branches,1, apex rounded or emarginate; petiole and rachis contiguous,1,1.2-2.5 cm wide,0,"Compound, paripinnate",0,3-5 pairs,0,"elongated, compressed, straight, or curved, and thickened at the sutures",1,8-30 gram,1,7.5-20 cm long,0,25,
platanus racemosa,Tree,0,10-25 m tall,0,3-5 lobed,0,10-25 x 10-25 cm,0,"dark brown and furrowed with ridges separating into thin scales, smooth, pale",1,"Apex acute to acuminate, sometimes rounded; Base not specified",0,2-3 cm,1,Simple,0,Not applicable,0,"achenes in spheric head, small, each with hairs from base",1,1-3 gram,1,5-8 mm,1,25,
